Date,Artist,Song Name,Song Korean Name,Song Type
7/28/2019,ITZY,ICY,아이씨,Major
7/28/2019,Z-GIRLS,Fire Flame,,Minor
7/25/2019,Mamamoo,Gleam,다 빛이나,CF
7/23/2019,GWSN,Red Sun (021),레드썬,Major
7/15/2019,Flashe,Talk,톡!,Major
7/12/2019,WishGirls,Yours Is Mine,넌 내꺼,Major
7/11/2019,(G)I-dle,Latata (Japanese ver.),,Japanese
7/11/2019,USHN,Popsicle,팝시클,Major
7/10/2019,Nature,I'm So Pretty,내가 좀 예뻐,Major
7/5/2019,Honey Popcorn,De-aeseohsta,디에세오스타,Major
7/1/2019,GFRIEND,Fever,열대야,Major
6/26/2019,(G)I-dle,Uh-oh,,Major
6/25/2019,Lusty,I'm Thirsty,,Major
6/24/2019,PURPLEBECK,Crystal Ball,,Major
6/19/2019,Red Velvet,Zimzalabim,짐살라빔,Major
6/12/2019,IZ*One,Buenos Aires,,Japanese
6/12/2019,Oh My Girl,SSFWL (Japanese ver.),,Japanese
6/11/2019,Twice,Breakthrough,,Japanese
6/11/2019,Twice,Happy Happy,,Japanese
6/8/2019,Pink Fantasy,Iriwa,,Japanese
6/4/2019,fromis_9,Fun!,펀,Major
6/4/2019,WJSN,Boogie Up,부기업,Major
5/29/2019,CLC,Me,미,Major
5/29/2019,EXID,We Are,,Minor
5/25/2019,Berry Good,Oh! Oh!,,Major
5/22/2019,Cherry Bullet,Really Really,네가 참 좋아,Major
5/21/2019,3Ye,DMT (Do Ma Thing),,Major
5/20/2019,Lovelyz,Beautiful Days,그 시절 우리가 사랑했던 우리,Major
5/17/2019,Davichi,Unspoken Words,,Major
5/16/2019,Ladies' Code,Feedback,너의 대답은,Major
5/15/2019,Bvndit,Dramatic,드라마틱,Major
5/15/2019,EXID,Me&You,,Major
5/14/2019,Weki Meki,Picky Picky,,Major
5/10/2019,Cherry Bullet,Lovin' U,러빙유,Major
5/8/2019,Oh My Girl,The Fifth Season (SSFWL),다섯 번째 계절,Major
5/7/2019,Momoland,Love Is Only You,사랑은 너 하나,Major
5/3/2019,PIERCE,Change,체인지,Major
5/1/2019,I LUV,Got It,,Major
5/1/2019,My Darling,Kung Chi Dda,쿵치따,Major
4/30/2019,High School,Baby You're Mine,베이비유어마인,Major
4/29/2019,A Train To Autumn,Spring Rain,우산을 쓰고,Major
